Name,Title,Reviews,Rating,Date of Experience
safa shaban,Worst agency there is,"Worst agency there is. Airline changed my tickets and cancelled my return. After speaking on their chat they told me to contact the airline who told me to contact lastminute.com. I asked for full cancellations and they said it may take up to 2 months to refund. Appalling experience, never again.",Rated 1 out of 5 stars,31 March 2023
Joyce Mckerron,Easy to book kept updated everything…,Easy to book kept updated everything went so smoothly will definitely book with them again.,Rated 5 out of 5 stars,06 October 2022
Lyd,Beware,"Beware. If you book a flight through them it is not guaranteed and they will not let you know if your flight is actually confirmed for 3 days. In which time the flights through another provider will have increased dramatically. If you try to cancel they will not offer a full refund despite not actually confirming any flight for you.Don't take the risk, just book direct with the airlines or use another provider",Rated 1 out of 5 stars,31 March 2023
Mali,Very unpleasant and rude customer…,"Very unpleasant, rude customer service. Can’t believe that company with  such a bad service can still exist.",Rated 1 out of 5 stars,12 February 2023
Emrer Erdoğan,I buyed a ticket from lastminute…,"I buyed a ticket from lastminute everything was ok until online check-in, when I try to check-in one day before my trip the on-line check-in doesn't work, when I was at the airport they stayed I need to pay an extra fee for the airport check-in 165 euro for 3 person. And I've buyed an extra future from lastminute ( no problem check-in service that was useless. And I will never buy a ticket from here though its 1 dollar, and I will advice to other don't buy from lastminute, and I've chat with them they didn't help at all.",Rated 1 out of 5 stars,24 March 2023
RW,Ghosted,"On the flight they sold me, they said it was free hand luggage. None of their customer service people knew what that meant. They said they’d get back to me but no one ever did. Had to go direct to the airline which is where I’ll be booking next time.",Rated 1 out of 5 stars,27 March 2023
Dave,All lovely 😊,n/a,Rated 5 out of 5 stars,26 March 2023
MARIA da CONCEICAO  GOUVEIA ,Cheaper  Very very nice and kwik,n/a,Rated 5 out of 5 stars,26 March 2023
Carole,Great experience,"Great experience, very easy to do,looking forward to our holiday.",Rated 5 out of 5 stars,27 March 2023
Christine,The whole experience was very good with…,The whole experience was very good with no hitches along the way.,Rated 5 out of 5 stars,26 March 2023
Eleanor,Lastminute makes organising a holiday…,Lastminute makes organising a holiday very easy as it packages the flight with the hotel but with flexibility to change times and useful filters to find the right hotel.,Rated 5 out of 5 stars,26 March 2023
Mr Mark Robb,"if it all goes ok, great. but if you have any problems they cant find you on the system.......","the booking great, it was cheaper than going to the airline and car hire direct. i was charged twice for the car insurance, but when i emailed lastminute.com regarding this, they cant find my booking. i have sent the emails from them and all the reference numbers but no help from them.its ok if things go smooth but if you have any problems forget it.",Rated 3 out of 5 stars,26 March 2023
La Base,FLEE,"they don't care at all, flee it's horrible lost 4k with them",Rated 1 out of 5 stars,03 March 2023
Joanne,Easy to use,Easy to use. Quick and painless. Good prices,Rated 5 out of 5 stars,20 January 2023
Shelly Thornton-Hawkins,Easy booking process,"Easy booking process, excellent customer service. Hotel was exactly as described. We had no problems at all booking with lastminute.com",Rated 5 out of 5 stars,14 January 2023
Bronson Kelly,I booked flights with last minute.com…,"I booked flights with last minute.com to fly to Korea. I got a notification from last minute stating that my flights are cancelled. They offered me alternative flights or to cancel so I decided to go with alternative flights options. However over the course of 2 days I never got any information on any alternative flights even though my flight was in 5 days. When I contacted last minute.com to ask them what's is happening they told me one part of my outbound flight was canceled therefore everything would be canceled. They couldn't tell me when my alternative flights would be or on what date I be flying back so this became very frustrating. Eventually I got an email from last minute.com telling me that I had been emailed alternative flights and I was to choose whether I wanted to go with these alternative flights or to cancel. However, I did not receive any email about any alternative flights or any details. When I contacted last minute.com to tell them I never received any alternative flight information they told me that they were working on this. They couldn't tell me my alternative flight information so it became even more frustrating. In the end with lots of talking with bots and also with their customer service on the chat and phone, I decided that this was not going to work because I needed to know when I was going to be flying out and when I would be flying back from Korea. So I contacted last minute.com again, but the phone number didn't work so I had to chat online and requested to have my flights cancelled with a full refund. Now I don't even know if they're going to fully refund me, because they said it wasn't their fault, but I will bring them to court and go to the EU courts if I have to. This company is an absolute joke and their customer service is absolutely terrible I've never experienced anything like this in my life before. I will never book with last minute.com and from now on I'm going to go with the main carriers when booking flights. I have now got alternative flights with Etihad airlines and these flights are even cheaper than last So lesson learned go with main carriers and don't go with cheap third party websites 😡😡",Rated 1 out of 5 stars,30 March 2023
Paul,"ABYSMAL, EXTREMELY BAD, AVOID !!","We unfortunately needed to cancel our trip for medical reasons and Lastminute.com could not have been less helpful. We were forced to cancel our trip 8 weeks before we were due to depart but other than an acknowledgement email to say that we'd requested a cancellation, there was zero response to any of my other enquiries. Finally, on the day after we were supposed to have departed, we received a demand for over £1200 in cancellation fees. The whole trip was only costing us £1,500 in the first place and the hotel were supposed to offer us free cancellation. Trying to talk to anyone at lastminute.com is virtually impossible and when you finally do, they're polite but couldn't be less interested. On 3 separate occasions, I've requested an invoice to show me the breakdown of how the cancellation fees are calculated and each time I've received emails that make no sense whatsoever. If you're thinking of booking a trip with lastminute.com, take my advice and don't bother !",Rated 1 out of 5 stars,23 March 2023
Ruben,Very reliable,Great prices and very reliable.,Rated 5 out of 5 stars,22 March 2023
Pamela Ramon,Leonardo hotel Manchester,Booked for a 2 night stay at the Leonardo Great Ancots Street.  The rooms were very clean and very comfortable beds. Cheap drinks at the bar and the breakfast was delicious. The TV dosent have a lot of channels or Internet connection which is a shame if you like watching movies on the telly. Overall a great experience.,Rated 5 out of 5 stars,22 February 2023
Ms R Barton,Review on Flights Only,"Review on Flights OnlyThe cost of flights compared to other flight companies. Easy to buy and pay online for tickets. Also, that they provided a boarding card service.  Unfortunately, although I received the outgoing boarding card in my inbox, I did not receive the return one.  I was sent a message but could not understand it as it was formatted in gobbledee-gook.  I also think having to wait until 19 or less hours before your flight to receive a boarding card is a bit of a bind as usually most people travelling towards their airports by then and not everyone has a smart phone.  This is probably more to do with the airlines rather than Lastminute although, you are allowed to select your seat when you manage your booking via the airline site.",Rated 4 out of 5 stars,26 March 2023
Nikolett,We were booked on a flight to Lanzarote…,"We were booked on a flight to Lanzarote and the hotel was in Grand Canara. So total rubbish. We had to book another holiday location in Lanzarote, at further cost. We tried to contact lastminute.com by phone, but were only directed to an online contact, and was informed it would be dealt with as soon as possible, possibly within a week. Useless.",Rated 1 out of 5 stars,24 March 2023
KJ,This company is trying very hard to…,"This company is trying very hard to take down negative reviews which is ironic how they could have the time to do that but not improving their service or sort out their mess.I specifically made a trustpilot account just for this scam company. I won’t ever let them take down my reviews as it is true and I have proofs. The emotional stress that I have been through because of this company is priceless.To the management, STOP TAKING DOWN REVIEWS. IMPROVE YOUR SERVICE INSTEAD.",Rated 1 out of 5 stars,30 March 2023
P Stephenson,Great few days in the sun.,Everything went as planned.  No holdups or issues.,Rated 5 out of 5 stars,25 March 2023
Kerry,i asked for a flight,i asked for a flight . my booking contained a flight number only to find out at check in ut was a coach,Rated 2 out of 5 stars,26 March 2023
Josh Freemont,they want you to fail,"Booked a return flight with two different airlines. Requested luggage to be added during the booking but was only added to one leg. Tried to add luggage for the second leg but only able to add for the whole trip (again) at an extortionate price. Next the website seems to have failed and wont load. Archaic, high friction, frustrating.",Rated 1 out of 5 stars,30 March 2023
Steve B,Everything went very smoothly and as…,Everything went very smoothly and as expected. Easy process and best value.,Rated 5 out of 5 stars,24 March 2023
Eli,Excellent pack!,n/a,Rated 5 out of 5 stars,21 March 2023
Charles,Great deal,"Great deal, no problem with the trip.Recommended",Rated 5 out of 5 stars,26 March 2023
lotfi,lastminute.com deliberately avoided to fulfill It FLEX ticket POLICY obligations,"lastminute.com deliberately avoided to fulfill It FLEX ticket POLICY obligations to myself as one of your customers regarding the promise to allow changes to the flight booking, including (dates, name, routes, additional baggage or seats). I have attempted to modify my reservation multiple times, but each time my request has been denied under the pretext of no availability., I am fully aware of the limitations of changing a flight's date, but I believe that the level of inflexibility I have experienced is unacceptable. It is particularly frustrating to note that each time I make an attempt, I receive the same response, regardless of the date range I request.",Rated 1 out of 5 stars,17 March 2023
Victoria,Scammers and liers!,"Scammers and liers!Bought a ticket with flexi service, changed the date of the flight supposed to be free, but not at all. You pay after additional extra fee, the airline company charges you later again and they do not pay for your ticket in time or at all. You have risk to stay in the country without departure if you have no money to pay extras for your ticket. No phone, only chat is available. Invoice details are crap, they cannot issue even a standard invoice with all your paid fees normally, send you some wrong data.",Rated 1 out of 5 stars,12 February 2023
Artem Metelskyi,My flight got cancelled,"My flight got cancelled, but lastminute didn’t even notify me about the flight cancelation. They book flights under their email address, so you won’t get any email notification about cancelations or changes to your flight. This is absolutely ridiculous. I accidentally fond out about that myself, if I wouldn’t have checked myself I would have gone to the airport for nothing.",Rated 1 out of 5 stars,29 March 2023
Karolina,Everything was great,Everything was great! We had amazing holidays. Hotel was very nice and everything was taken care of. Website was easy to navigate and buy the holidays. We received all instructions in the email after purchasing the holidays and we could always log in to check on website as well.,Rated 5 out of 5 stars,19 March 2023
Lee,I have asked to speak to someone 10…,"I have asked to speak to someone 10 times now about my holiday and no one has replied, very disappointing, i need help with my booking",Rated 1 out of 5 stars,26 March 2023
Mr Christopher Tidy,Delayed refund,"Airline wanted to change my afternoon flight to a 06.30 flight, I declined and asked for a refund....apparently takes up to two months, won't contemplate them in the future, dodge them like a bullet",Rated 1 out of 5 stars,15 March 2023
Mrs Morrison,Great trip but cost of taking baggage…,Great trip but cost of taking baggage was ridiculous. Would be better added into flight. Seems a cheap deal until it costs more to take a bag with you,Rated 4 out of 5 stars,25 March 2023
Locksley,The Staff at Hotel ROMA in Prague were excellent…,"The Staff at Hotel ROMA in Prague were absolutely excellent, especially Thomas who arranged all tours and tried to get the Pre Booked Taxi service with TIMO Cars who were a bit difficult as I did not take a print of the trip from Prague airport to the Hotel Roma, the driver had my name on his welcome plaque but because I could not download it at the airport he would not convey me to the hotel despite my pleading and suggestion that I would pay him for  the fare again as he had greeted me at the airport, I also spoke to his boss who was a bit sarcastic and a bit difficult so I told him that I would take another TAXI. I Tried several times with the help of Roma Hotel staff to ensure my return taxi service would be ok but to no avail, finally, Thomas managed to get it arranged for which I am very grateful.",Rated 4 out of 5 stars,25 February 2023
Tegwedd Powell,We stayed at the hotel A la Comedia in…,We stayed at the hotel A la Comedia in Venice and it was fabulous.  Very central location near restaurants and shops and within easy walking distance to all the main attractions.  The room was spacious and the beds comfortable although the pillows were hard. Book your water taxi at the airport when you arrive..,Rated 5 out of 5 stars,20 March 2023
John Russell,Easy booking,"Easy booking, good post booking electronic support and valuable voucher for future trips.",Rated 5 out of 5 stars,20 March 2023
N.,This company never again,"This company never again. The information in their emails is incorrect and therefore very confusing, like wrong arrival airport. Customer support is not helpful at all. They are not listening nor willing to provide a good service, only advising you to contact the airline directly yourself. It is impossible to receive an email with the correct information of my booking, unfortunately.Also the price increases the moment you pay for the flight without any clarification on the costs. Overall, very disappointing",Rated 1 out of 5 stars,28 March 2023
Vera De-Gernier,Not the best deal,"We enjoyed Amsterdam, hotel was great with a nice buffet breakfast friendly and helpful staff members: reception, restaurant and housekeeping. Location was great easy to get to centre of the city. Biggest disappointment was about all hidden costs with flight: seats, carry on luggage, even ours were small however we were charged both ways. I booked numerous trips with Lastminute and was always travelling with the same suitcase but this time was ripped off by EasyJet on my 65th birthday.Very, very disappointed.",Rated 3 out of 5 stars,20 March 2023
Sonate,My payment went through so fast without…,"My payment went through so fast without any glitch and I was able to get an express check in at the accomodation, unlike my sad experience with Booking,com when my payment was taken and held from my debit bank card without getting a confirmation and I had to wait for days to get my refund attended to.",Rated 5 out of 5 stars,24 March 2023
Steve Blum,Inabiity to assist when flight changed.,Flight changed by airline but Last minute seemed unaware/unconcerned by this. An airport  taxi proved impossible for them to change to match changed flight. Totally unhelpful. Wated hours on emails and calls. One suggested solution to taxi was too rearrange one for after we had flown out! Compensation a derisory gift voucher for future services which we will never use as would have nothing to do with this firm again.,Rated 1 out of 5 stars,25 April 2022
Julie Barber,Lovely Hotel,"Easy to book, lovely hotel, very clean with well kept grounds .  Check out time was 12 which was great as didn’t need to rush on day of departure",Rated 5 out of 5 stars,15 March 2023
Mr J,Absolutely AWFUL !!,Absolutely AWFUL !!! DO NOT USE !!!!!Can’t speak to anyone . Can’t change anything.USELESS !!!!,Rated 1 out of 5 stars,20 March 2023
Chris,"Zero help from lastminute.com, avoid them","If you have any issues or need to make changes, I wish you the best of luck. Their phone number doesn't work, they don't reply to emails, the online chat function doesn't work, and after three days of trying I eventually managed to online 'chat' with somebody who told me to send them an email, and this person was entirely useless and didn't help at all. So I have learned my lesson the hard way, and will be avoiding this useless organisation at all costs in the future.",Rated 1 out of 5 stars,29 March 2023
Lisa Wheatcroft,I booked a hotel on last minute,"I booked a hotel on last minute. When I arrived, it was disgusting and not as sold on the lastminute website. I booked an alternative hotel with last minute and left within 20 minutes. Lastminute have refused to compensate me anything worthwhile for the fact that they sold me an awful hotel. The customer service was awful and I have been contacted by someone who had clearly had no training and wasn't capable of dealing with the issue.I will never use last minute again.",Rated 1 out of 5 stars,29 March 2023
David,AVOID LIKE THE THE PLAGUE,"AVOID LIKE THE THE PLAGUE - DO NOT EVEN THINK ABOUT USING LASTMINUTE.COMI Just cancelled a trip and was charged over half the price as a cancellation fee - they have ZERO customer service - and most critically, they will not tell you what the cancellation fee is before you cancel. I have literally been stolen from in the past by different individuals and organisations and still feel as though I had been treated more fairly than Lastminute.com treated me.",Rated 1 out of 5 stars,28 March 2023
Yi Yu,Worst air ticket booking website!!!!!!!,"Worst of all, when attracting payment, showing 38euros, then after excluding every service, price rose to 68euros, after payment, total price goes over 120 euros with damn FullFlex service I did not chose!!!!!!!!!!! They wrote emails of the terms, with FullFlex service, you only get 90% of refund as voucher, what the heck!Whoever supports this website again is idiot!!!!!!",Rated 1 out of 5 stars,29 March 2023
Anna,My trip was great without any problems…,"My trip was great without any problems at all even I changed different date my return ticket, I enjoyed all of the moment. Thank you",Rated 5 out of 5 stars,24 March 2023
Vaishali Asher,"I was repeatedly misinformed, led on, lied to and disregarded","Extremely disappointed with the service from lastminute.com and will not be using/ recommending them again. I booked a flight, which I then had to unfortunately cancel - this was actioned within 30 minutes of booking. There was no one to speak to on a call regarding this so it was done online. A couple of weeks later I received a refund which had c£80 missing. To follow this up I had to have numerous conversations with different consultants via their online service. One told me to contact KLM directly because they hadn’t refunded the full amount, which should have been the case as per KLM’s cancellation policy. They disregarded my frustrations and told me to contact KLM directly. I was then diverted back to lastminute.com as my booking had gone through them, KLM stated that they had passed on the refund and this should be followed up with lastminute.com. I then had another consultant claim to take on my feedback following my call with KLM and said they would escalate the situation and I would hear back in 3 working days - I heard nothing. I had to chase this AGAIN with the rudest consultant who lacked basic empathy and communication. I received blunt responses to everything I was enquiring about and they said that lastminute.com have charged an admin fee p/p + another fee. I expressed my frustration, especially as no other team member had said this to me, despite it being their job to know such information (if this is true), and stated I will be taking this further. Before I could ask a follow up question, which I wanted to do, the consultant ended the chat without responding and I was sent an automated message to leave a review.I am outraged at many things to do with the business, but more than anything it’s the lack of knowledge, communication and empathy from the employees. I was repeatedly misinformed, led on, lied to and disregarded by the staff and they are meant to be customer service professionals? My follow up question to the team member was going to be ‘could I have a voucher instead as this was not provided to me as an option and means that both parties miss out on losing money and further time’. If they stayed on the chat instead of closing it the second they had to deal with a frustrated customer, which is their job - they would have saved money and had a happy customer/ great review.",Rated 1 out of 5 stars,21 March 2023
Mr Parsons,The person I spoke to was very polite…,The person I spoke to was very polite and checked all I had done and reassured me it was correct and all details would become available in a couple of days,Rated 5 out of 5 stars,26 March 2023
Lola Wright ,The information given was clear and…,"The information given was clear and concise, very informative, kept me on track. Will always book with lastminute.com.  Will also recommend to friends and family.",Rated 5 out of 5 stars,24 February 2023
Cymru🏴󠁧󠁢󠁷󠁬󠁳󠁿,Scam do not use,"Do not use this company, no respect, response or consideration if u cancel (baring in mind less than 24hours) and make up a cancellation fee of £650 as this is not agreed before you cancel or in the T&C. First email with the cancellation fee was also threatened with a court order if not paid 😂 trying to contact them they block your number and send an automated text saying ""We have received your request. As soon as it has been processed, we'll send you an email with all the details. Thank you for contacting us."" So no way of contacting them. Luckily I only paid a deposit have had to cancel my debit card and happily to loose this as a lesson well learnt! I usually read reviews why I didn't with this s**t company so please do just proves. I don't know how there still running as you can obviously see a trend here that if u do book they only cancel it anyway pretend the flight is cancelled even though the customer contacts the airline so lastminute can sell it on for the increased price at a later date shocking!",Rated 1 out of 5 stars,19 March 2023
Vivanne Dineen,Excellent hassle free process!,n/a,Rated 5 out of 5 stars,25 March 2023
Kabir,The booking process was seamless,n/a,Rated 4 out of 5 stars,23 March 2023
Rosita,Pretty happy with the service,"Pretty happy with the service, great summary email with all the information in one place. No hiccups. Will definitely use again",Rated 5 out of 5 stars,24 March 2023
jan,Taking down negative reviews,"Phoned Last Minute to get details of my last attempted bookings. I needed the information to document my latest 1 star review. The person I eventually spoke to was very unhelpful and was unable or unwilling to give any details . My review , which was very genuine , has now had to be taken down . Unfortunately they have refused to e mail any confirmation of the call and once again I have no proof.This company is truly awful and now trying to take down negative reviews rather than help their customers resolve issues",Rated 1 out of 5 stars,27 March 2023
Amy,Room booking had been changed,"Arrived at hotel to find that my booking of one double + one single room had turned into one room with only one kingsize bed for three adults. We had to pay the hotel for the single room for our travel companion. It was an awkward, embarrassing and expensive experience. Will never use this company again. - Avoid!",Rated 1 out of 5 stars,23 March 2023
Malin,DON'T USE LASTMINUTE !!!!,"They raised the price of the ticket after I confirmed my payment, nowhere did it say another price but when I then checked my bank account they had drawn more money than what it was supposed to cost. Don't let them fool you!!!",Rated 1 out of 5 stars,26 March 2023
Vicky Hellon ,"Didn't confirm the flights for the month, then cancelled",I booked a flight with lastminute.com in February and despite repeated calls to them they kept saying the booking would be confirmed. They have now cancelled the flight and refunded me without a reason a month after I booked it- meaning alternative flights I could have booked have now gone up in price.,Rated 1 out of 5 stars,28 March 2023
Aimon Mansoor,I was initially hesitant abt booking…,"I was initially hesitant abt booking with this company as I had a really bad experience with another similar website who I had booked a flight with. Cancellation when the flight was still running.. Anyway, Last minute wasn’t like that. We got our booking confirmation right away and received email reminders as well. Hassle free! Didn’t have any issues flying from London Gatwick to Toronto. I will use them in the future as well.",Rated 4 out of 5 stars,15 March 2023
Kyle,Everything was fine apart from checking…,"Everything was fine apart from checking in, I had to pay an extra £55 per person, as I couldn’t do it through your website so Ryanair had to do it in the airport, which cost me an extra £110, when I brought it up with your customer service they dismissed me and ended the chat, very poor in that circumstance and totally unprofessional.",Rated 3 out of 5 stars,17 March 2023
JanieB,Quick and easy,n/a,Rated 5 out of 5 stars,25 March 2023
Claire ,All smooth and easy,"All smooth and easy, great voucher from my last holiday, nice accommodation and Nice was fabulous thanks",Rated 5 out of 5 stars,24 March 2023
Muhammad Kashif,Good,Good. Overall experience,Rated 5 out of 5 stars,25 March 2023
Billy ,A company from hell,We were flying out to Krakow from Leeds Bradford airport on the 10th of march 2023 heavy snow had falling during the night the flight out was wizz air .we went to the airport and was told the flight was delayed for 2-hours then we were called to gate one. to find out the flight was cancelled to krakhow due to snow and heavy frost we tried to claim back off lastminute.com all they said the flight left on time which I had proof of a text from wizz air stating the flight at been cancelled I am now claiming from my credit card so please do not use lastminute.com hey just look at the (reviews )honestly if something goes wrong you're doomed it's not fit for purpose and should be struck off. Billy from Durham,Rated 1 out of 5 stars,10 March 2023
Ash,Easy check in,"Easy check in , guidance and helpful assistance for whole journey",Rated 5 out of 5 stars,13 March 2023
Ben Killey,Stay well away from these con men,"Stay well away from these con men. Honestly I’ve never come across a more fraudulent business. I am amazed they are allowed to continue trading. They changed my flights without telling me then tried to not refund me. I had to do a bank chargeback (which they fought with everything they had). They even got trust pilot to take my last review down saying it wasn’t genuine! Lying scumbags. And if you work for LM then you are a waste of space, go get a decent job where your not ripping people off.",Rated 1 out of 5 stars,28 July 2022
Charlie Lynch,Avoid at all costs,"Avoid at all costs, booked a flight for £850 only to get an email an hour later saying the booking was not confirmed as the flight had gone up, ok so why not offer me the increased fare? Now there's been a hold on my money for 6 days and i need the money to book another flight so i'm screwed.",Rated 1 out of 5 stars,23 March 2023
RAFAEL,The customer services is impersonal,"The customer services is impersonal, confused on a kick-out-customer style; unprofessional and the agents can't explain about their services properly. The company services are full of catches. After you paid forget your money forever. It should be called last booking, because it's my last with them.",Rated 1 out of 5 stars,27 March 2023
rizwan rasheed,"Date change request reply in 4 days, what a joke.","I booked flight to Islamabad to depart on 5th April, and then I requested date change to 29th march 2022 on 25th march and I was told I will be emailed within 4 days about change request. How pathetic this is,How am I suppose to fly out on 29th if you reply me on 28th, shouldn’t I have to prepare well before departure day. Never had this experience from any agency. So please carefully consider before you book your flight with this agency.",Rated 1 out of 5 stars,25 March 2023
Nima Morad,They canceled my flight ticket and now…,They canceled my flight ticket and now after 6 months they said I can receive 10% of original tickets price such scams,Rated 1 out of 5 stars,08 November 2022
Aaron Carroll,Booking and last minute .com…,"We booked a holiday with booking.com and they used this company for the flights , we payed extra for free cancellation. We didn't receive and email for any seat numbers for the plane so we were worried and cancelled the holiday just incase . It wasn't even a day later and we were charged or deposit and 400 which should be told clear as day when booking but it doesn't which is unfair on the customers as paying that much for nothing. We rand booking.com and they said they have nothing to do with it and wouldnt leave us speak to a supervisor or manager",Rated 1 out of 5 stars,26 March 2023
Darren Charles Plant,Worst company ever don’t use,"Worst company ever don’t use , book flights and added seats £90 😳 charged , invoice came no seats can’t get through on website , manage to chat to someone in India, no seats booked they say but taken money , read up about company online reviews do it all the time scammers , wasn’t expecting this from well known company",Rated 1 out of 5 stars,27 March 2023
julie,Easy to view and book,n/a,Rated 5 out of 5 stars,15 March 2023
Brendan Mcnally,So easy to book and find properties to…,So easy to book and find properties to look at,Rated 5 out of 5 stars,23 March 2023
Terry Thomas,"Go back to GO, don't collect £200!!","Information and choice were well presented and good value. However, and possibly because I use a tablet for online activity, any change or adaptation of requirements allways required a return to start page. Given that often individuals browse for the ""right mix"" on sites such as this, the frequency of re-typing in information quickly builds into a highly frustrating activity.",Rated 3 out of 5 stars,24 March 2023
raja jahangir,Very easy to book a ticket on…,Very easy to book a ticket on lastminute.com and good deals are also available Money saver,Rated 5 out of 5 stars,23 March 2023
Mr Rose,Trip to Cork,"My recent trip to Cork was a lot cheaper using Lastminute.com than trying flights and hotel separate myself, I couldn't get any hotels as cheap as both flights and hotel together through Last minute so I would definitely use again. Thanks",Rated 5 out of 5 stars,23 March 2023
Slobodan Majstorovic,All worked like a Swiss watch,"All worked like a Swiss watch, notwithstanding strikes in Paris!!😊👍🏻👍🏻👍🏻👍🏻👍🏻💥💥💥💥💥",Rated 5 out of 5 stars,02 January 2023
Ms Carole Hughes,Easy to book and once on the app very…,Easy to book and once on the app very easy to use to check details and make amendments,Rated 5 out of 5 stars,06 August 2022
Caitlyn Blackburn,Brilliant stay,"Brilliant stay, very last min but perfect and easy booking",Rated 5 out of 5 stars,18 March 2023
Simon Budd,Easy web site experience,"Easy web site experience, no dramas",Rated 5 out of 5 stars,23 March 2023
Philip,"Very good service, thank you",Very good service,Rated 5 out of 5 stars,23 March 2023
Marjan Fayazinia,Stress and grief!,If you want a good experience I strongly advise against booking with this company. We called so many times everyone was saying different things and anybody didn’t try to help us. They even told me I am going to loose all my ticket and hotel money. They gave us so much stress and grief.  It did seem like they are doing it deliberately because few days before flight I have received an email that my booking has not been cancelled!,Rated 1 out of 5 stars,20 August 2022
Isaac,Easy to use and found a great deal,Easy to use and found a great deal! The auto check in made things really simple and with the clear instructions on how to amend flights to add luggage the whole process was made simple,Rated 5 out of 5 stars,23 March 2023
Claire,Great experience even when wanting to…,Great experience even when wanting to contact them the chat bot gets you through to them very quickly have already booked my next trip,Rated 5 out of 5 stars,24 March 2023
Guy,Ease of booking,Ease of booking. Truthful previous reviews.,Rated 5 out of 5 stars,23 March 2023
Dexx Scott,So I booked flights with Last Minute…,"So I booked flights with Last Minute and then 5 days later they told me the flights were cancelled One at a time... Now this company cancelled them. No reason just cancelled.They then told me it would take up to 2 MONTHS to get my money back and said they have requested the airlines approval. This means it will be AFTER my trip I'll likely get a refund. How is this even legal?LASTMINUTE cancelled the flights so I'd expect an immediate refund. This is a terrible booking service and I'd avoid this at all costs. Will NOT recommend. Use other reliable companies. So I have paid for my hotel and cannot refund and now have no flights to get there. When I did look at alternative flights on the website they have increased by over £80 per person. Not only this but I wont get my money back until after so I am even further out of pocket... Absolutely terrible.The only way to deal with Existing bookings according to the phone is a WEB CHAT. Speaking to Mohammad on the chat they basically just said they don't really care your out of pocket by £250 and will have to wait for the refund then when they get the refund they will contact me to organise them refunding it back to to me. (That's not going to be instant either is it?!) Absolutely Terrible.No compensation, No money to rebook, No care.",Rated 1 out of 5 stars,27 March 2023
Saleem,I had so much fun on this trip,I had so much fun on this trip! Made so many amazing memories. Looking forward to booking again!,Rated 5 out of 5 stars,03 January 2023
Marta Perez Alcantara,"Told me flight was confirmed, not true","Told me flight was confirmed, then received an email with cancelation afterwards that was buried in mail and I didn't see in 2 weeks. Had to re-buy tickets at double the price elsewhere.",Rated 1 out of 5 stars,26 March 2023
JC,Fraudulent booking,"Booked holiday of our dreams with Booking.com who linked us to last min.com, no confirmation email following payment, phone numbers are none existent, when you contact someone you get fobbed off. Took over £700 from me as a deposit.Totally fraudulent",Rated 1 out of 5 stars,26 March 2023
Sarah,It was a gay hotel but your site did…,It was a gay hotel but your site did not say this and I tried to call you but the number just says go to website,Rated 1 out of 5 stars,15 March 2023
Ruby George,I couldn’t check in on line as only 1/2…,I couldn’t check in on line as only 1/2 of the email address was visible.  When we arrived at the airport I was charged £110 for not checking in on line.,Rated 1 out of 5 stars,18 March 2023
Malcolm White,Straight forward and informative…,Straight forward and informative booking process,Rated 5 out of 5 stars,23 March 2023
Timothy,Was okay - will probs use again if there's a good deal,"Was okay, got a decent deal- the add-ons for certain budget airline packages was annoying.",Rated 4 out of 5 stars,14 October 2022
Yusuf Saeed,2282758017,I have vouchor,Rated 1 out of 5 stars,26 March 2023
Paulo Dobi,Do not use this company,"Do not use this company, save yourself the headache. We tried to book a get away to bali, we couldn't add the baggage through lastmin and got told we could add it later through the airline. We got estimated £100 per person for 20kg but when we tried to add the luggage we got told it was £600 per person. Then we decided to cancel and now they are telling us we cant get a refund even though we cancelled within 24hrs. This is shameful and robbery. Furthermore they will now not respond to our emails and phone calls, we have been told to wait and its been 3 weeks now.",Rated 1 out of 5 stars,26 March 2023
Sameh Aransa,Scam and Refuse to cancel,They increased the money at the payment method and when I tried to cancel in 10 mins they refused to refund and wanted to give an only a voucher.,Rated 1 out of 5 stars,24 March 2023
Alison,Disneyland Paris,Had a fabulous time in Disneyland Paris at the Magic Circus,Rated 5 out of 5 stars,15 March 2023
Lynne ,Booking was easy and the price very competitive,"Booking was easy and the price very competitive. Our hotel in Bansko (St George’s Palace)was really good value for money- good spa facilities, breakfast buffet and spacious room. Communication was also very good leading up to the holiday. The only slight down side was the flights with Ryanair: their processes that almost force additional expenses, not easy to navigate and cramped seating",Rated 4 out of 5 stars,11 March 2023
Grace,I get vouchers from work and it was…,I get vouchers from work and it was really easy to move from the last minute rewards to use them on the website for flights,Rated 5 out of 5 stars,17 March 2023
Anonymous,Excellent service,Excellent service.  thanks,Rated 5 out of 5 stars,22 March 2023
Adam J,Service and staff are always great,"Service and staff are always great, food selection is perfect, location is cool. The rooms and bathrooms needs to be modernised as they are a bit old fashioned for my tastes.",Rated 4 out of 5 stars,22 March 2023
John Fox,Easy to book and also easy to use good…,Easy to book and also easy to use good service,Rated 4 out of 5 stars,17 March 2023
Marion,Birthday,Great trip from start to finish my birthday is on st patricks day and the Irish hospitality did not disapoint Thankyou,Rated 5 out of 5 stars,16 March 2023
